equivchecking;SWP_SWP_(datasize=2_capacity=1_windowsize=2)eq=branching-bisim;otftl;35.107542;0;37636481;120755185;2
equivchecking;SWP_SWP_(datasize=2_capacity=1_windowsize=2)eq=branching-bisim;otfatl-n;32.268737;0;37636481;120755185;2
equivchecking;SWP_SWP_(datasize=2_capacity=1_windowsize=2)eq=branching-bisim;atl-n;32.645016;0;37636481;120755185;2
equivchecking;SWP_SWP_(datasize=2_capacity=1_windowsize=2)eq=branching-bisim;atl;34.519030;0;37636481;120755185;2
equivchecking;SWP_SWP_(datasize=2_capacity=1_windowsize=2)eq=branching-bisim;otfatl;34.325564;0;37636481;120755185;2
equivchecking;SWP_SWP_(datasize=2_capacity=1_windowsize=2)eq=branching-bisim;otftl-n;32.780806;0;37636481;120755185;2
modelchecking;ABP(BW)datasize=8_infinitely_often_read_write;tl-n;0.000298;32;438;547;3
modelchecking;ABP(BW)datasize=8_infinitely_often_read_write;tl;0.000355;32;438;547;3
modelchecking;ABP(BW)datasize=8_infinitely_often_read_write;otftl;0.000312;32;438;547;3
modelchecking;ABP(BW)datasize=8_infinitely_often_read_write;otfatl-n;0.000298;32;438;547;3
modelchecking;ABP(BW)datasize=8_infinitely_often_read_write;atl-n;0.000291;32;438;547;3
modelchecking;ABP(BW)datasize=8_infinitely_often_read_write;atl;0.000315;32;438;547;3
modelchecking;ABP(BW)datasize=8_infinitely_often_read_write;otfatl;0.000312;32;438;547;3
modelchecking;ABP(BW)datasize=8_infinitely_often_read_write;otftl-n;0.000316;32;438;547;3
random2;rn-40000-40000-1-2-5;tl-n;0.220865;45;40000;59974;25154
random2;rn-40000-40000-1-2-5;tl;0.225181;45;40000;59974;25154
random2;rn-40000-40000-1-2-5;otftl;0.263219;53;40000;59974;25154
random2;rn-40000-40000-1-2-5;otfatl-n;0.238853;47;40000;59974;25154
random2;rn-40000-40000-1-2-5;atl-n;0.249634;47;40000;59974;25154
random2;rn-40000-40000-1-2-5;atl;0.253281;47;40000;59974;25154
random2;rn-40000-40000-1-2-5;otfatl;0.236143;47;40000;59974;25154
random2;rn-40000-40000-1-2-5;otftl-n;0.260380;53;40000;59974;25154
random2;rn-200000-200000-1-2-9;tl-n;2.024763;66;200000;299862;126483
random2;rn-200000-200000-1-2-9;tl;2.283367;66;200000;299862;126483
random2;rn-200000-200000-1-2-9;otftl;1.694440;54;200000;299862;126483
random2;rn-200000-200000-1-2-9;otfatl-n;1.705761;55;200000;299862;126483
random2;rn-200000-200000-1-2-9;atl-n;1.978491;64;200000;299862;126483
random2;rn-200000-200000-1-2-9;atl;1.942305;64;200000;299862;126483
random2;rn-200000-200000-1-2-9;otfatl;1.705734;55;200000;299862;126483
random2;rn-200000-200000-1-2-9;otftl-n;1.600920;54;200000;299862;126483
modelchecking;SWPdatasize=8_windowsize=1_no_duplication_of_messages;tl-n;0.021092;0;41762;154498;2
modelchecking;SWPdatasize=8_windowsize=1_no_duplication_of_messages;tl;0.028221;0;41762;154498;2
modelchecking;SWPdatasize=8_windowsize=1_no_duplication_of_messages;otftl;0.028960;0;41762;154498;2
modelchecking;SWPdatasize=8_windowsize=1_no_duplication_of_messages;otfatl-n;0.029094;0;41762;154498;2
modelchecking;SWPdatasize=8_windowsize=1_no_duplication_of_messages;atl-n;0.030149;0;41762;154498;2
modelchecking;SWPdatasize=8_windowsize=1_no_duplication_of_messages;atl;0.021486;0;41762;154498;2
modelchecking;SWPdatasize=8_windowsize=1_no_duplication_of_messages;otfatl;0.027979;0;41762;154498;2
modelchecking;SWPdatasize=8_windowsize=1_no_duplication_of_messages;otftl-n;0.018722;0;41762;154498;2
modelchecking;IEEE1394nparties=2_datasize=2_headersize=2_acksize=2_property4;tl-n;0.215362;0;571378;996970;2
modelchecking;IEEE1394nparties=2_datasize=2_headersize=2_acksize=2_property4;tl;0.165144;0;571378;996970;2
modelchecking;IEEE1394nparties=2_datasize=2_headersize=2_acksize=2_property4;otftl;0.164369;0;571378;996970;2
modelchecking;IEEE1394nparties=2_datasize=2_headersize=2_acksize=2_property4;otfatl-n;0.212954;0;571378;996970;2
modelchecking;IEEE1394nparties=2_datasize=2_headersize=2_acksize=2_property4;atl-n;0.214653;0;571378;996970;2
modelchecking;IEEE1394nparties=2_datasize=2_headersize=2_acksize=2_property4;atl;0.163197;0;571378;996970;2
modelchecking;IEEE1394nparties=2_datasize=2_headersize=2_acksize=2_property4;otfatl;0.165017;0;571378;996970;2
modelchecking;IEEE1394nparties=2_datasize=2_headersize=2_acksize=2_property4;otftl-n;0.217037;0;571378;996970;2
equivchecking;Hesselink_(Specification)_Hesselink_(Implementation)_(datasize=2)eq=branching-sim;tl-n;20.278420;0;33702306;76550466;2
equivchecking;Hesselink_(Specification)_Hesselink_(Implementation)_(datasize=2)eq=branching-sim;otfatl-n;21.270514;0;33702306;76550466;2
equivchecking;Hesselink_(Specification)_Hesselink_(Implementation)_(datasize=2)eq=branching-sim;atl-n;21.276608;0;33702306;76550466;2
equivchecking;Hesselink_(Specification)_Hesselink_(Implementation)_(datasize=2)eq=branching-sim;otftl-n;20.356094;0;33702306;76550466;2
random2;rn-40000-40000-1-2-11;tl-n;0.133107;30;40000;60029;25234
